Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
HEA1000,Michael Fernandez,Beckmouth,Indiana,West,B,Type1,2026-02-04,3,422.56,0.23,5306.1,4365.14,1.8,Pending
HEA1001,Tiffany Coleman,Jacobland,Idaho,North,B,Type3,2024-06-24,8,791.37,0.07,5237.91,4196.02,5.0,Completed
HEA1002,Terry Ellis,New Jason,Wisconsin,South,B,Type2,2025-03-25,10,430.59,0.16,5792.97,2793.63,3.3,Cancelled
HEA1003,Dr. Edward Lee,Georgemouth,Idaho,East,B,Type2,2026-03-29,8,276.65,0.06,7477.76,1001.05,1.6,Pending
HEA1004,Geoffrey Stevens,Jacksonhaven,Florida,West,C,Type2,2025-04-04,14,863.41,0.08,9716.16,2115.01,2.1,Pending
HEA1005,Robert Thompson,Port Christinashire,New York,East,D,Type3,2026-02-09,18,600.86,0.15,8794.76,1745.61,1.7,Cancelled
HEA1006,Brittany Cardenas,New Craig,Louisiana,South,B,Type3,2025-02-02,9,595.6,0.22,1271.84,1444.9,1.5,Pending
HEA1007,Brandon Fuller,Jamesfurt,Missouri,East,C,Type1,2025-07-08,9,614.71,0.03,3451.29,65.32,4.2,Pending
HEA1008,Mark Decker,East Patriciabury,Texas,West,C,Type3,2025-08-10,4,721.65,0.09,2632.65,2487.13,3.0,Pending
HEA1009,Edward Richards,Port Melissachester,Wisconsin,North,C,Type3,2025-04-13,3,319.94,0.28,1850.49,1160.07,3.5,Pending
HEA1010,Lydia Lee,North Johnton,Florida,South,D,Type3,2025-01-13,14,43.51,0.13,5492.78,3134.44,2.3,Pending
HEA1011,Amy Jenkins,Kingchester,Delaware,West,A,Type3,2023-10-26,14,812.49,0.28,5577.32,1255.62,3.2,Pending
HEA1012,Stacey Strong,Stephaniefurt,North Carolina,North,D,Type3,2023-06-16,16,137.62,0.3,2349.72,1871.4,2.0,Pending
HEA1013,Penny Smith,North Zachary,Idaho,East,B,Type2,2025-09-07,5,724.6,0.16,7147.78,-212.02,2.2,Completed
HEA1014,Richard Vazquez,South Williamborough,Iowa,South,B,Type1,2024-05-03,15,91.49,0.09,7355.85,4958.96,3.6,Pending
HEA1015,Jennifer Carpenter,Monicaborough,North Dakota,North,A,Type3,2025-07-01,9,381.55,,307.7,2291.86,1.6,Pending
HEA1016,Timothy Castillo,East Ronaldside,Illinois,East,B,Type2,2025-10-04,7,72.4,0.05,4018.0,-366.69,3.5,Cancelled
HEA1017,Sarah Nichols,East Kyle,Wisconsin,West,D,Type3,2023-09-23,13,526.99,0.08,8912.39,2476.77,4.4,Completed
HEA1018,Carla Hale,North Rebeccamouth,Hawaii,West,A,Type3,2024-07-08,8,656.6,0.24,5251.15,4286.95,1.5,Pending
HEA1019,Christine Perry,Derekhaven,Alabama,West,A,Type2,2025-04-04,12,179.72,0.13,3541.52,3749.04,4.6,Cancelled
HEA1020,John Collins,West Jonathantown,New Hampshire,South,B,Type3,2023-06-19,4,377.91,0.06,2611.39,3354.99,1.3,Completed
HEA1021,Brandon Rivera,Amberstad,Arizona,South,C,Type3,2024-05-18,16,930.94,0.2,2509.21,267.06,2.4,Pending
HEA1022,Kimberly Murphy,Hannahaven,Texas,East,A,Type2,2024-09-02,6,447.97,0.22,1087.7,3117.55,3.4,Pending
HEA1023,Steven Parker,Port Elizabeth,Missouri,North,D,Type1,2025-08-24,5,804.52,0.04,8190.54,3714.64,3.2,Pending
HEA1024,Daniel Robinson,Millershire,Georgia,East,A,Type1,2024-11-13,1,927.91,0.08,957.91,2648.3,1.4,Completed
